Download Time:2026/05/18 12:16:32,Search Date:2012/01/02 - 2024/01/01 Magnitude(min):4.5 
Origin Time,Latitude[degree],Longitude[degree],Depth[km],Magnitude,Max Acc[gal],Max Vel[cm/s],Seismic Intensity,Number of stations
2022/06/12 21:46:00,37.6340,141.5910,54,5.1,69.1,2.0,3.2,198
2022/06/10 11:14:00,41.8290,142.2060,67,4.9,26.1,1.5,3.0,159
2022/06/07 10:57:00,25.6310,123.4300,204,5.2,9.6,0.2,1.5,5
2022/06/03 16:03:00,26.8310,126.3620,16,5.9,7.5,0.5,1.6,5
2022/05/29 15:55:00,36.2440,140.9780,44,5.3,209.7,6.8,4.1,260
2022/05/27 17:59:00,37.8000,141.6230,55,4.7,57.8,2.7,3.2,158
2022/05/23 11:01:00,41.2200,143.1010,24,5.6,21.7,1.0,2.6,188
2022/05/22 21:22:00,42.1640,142.9720,43,4.7,59.5,1.7,2.9,91
2022/05/22 12:24:00,36.7700,141.4060,5,6.0,189.4,21.8,4.9,297
2022/05/18 06:17:00,40.9840,143.1670,21,5.3,11.6,0.5,2.0,119
2022/05/14 19:48:00,34.6700,140.5450,82,4.6,23.8,0.8,2.4,76
2022/05/14 00:47:00,40.0900,142.7490,34,4.7,13.4,0.5,2.1,90
2022/05/13 05:10:00,37.2490,141.5330,43,4.5,17.6,0.4,1.8,74
2022/05/09 17:33:00,34.5600,136.9800,341,5.2,13.9,0.6,2.3,157
2022/05/09 15:23:00,23.9380,122.4960,19,6.6,9.0,1.1,2.3,3
2022/05/07 20:53:00,26.9140,126.4170,13,5.7,6.4,0.5,1.6,4
2022/05/06 22:21:00,26.8840,126.4990,8,5.5,5.5,0.3,1.4,4
2022/05/05 18:42:00,36.1370,139.8460,52,4.8,255.9,8.2,4.7,276
2022/05/04 12:54:00,24.7940,125.3900,50,4.5,16.0,0.5,1.7,2
2022/05/03 19:40:00,35.6590,139.4850,130,4.6,57.7,1.5,3.0,262
2022/05/02 16:08:00,31.5880,131.8190,22,5.0,52.2,2.8,3.4,75
2022/04/28 19:03:00,41.1920,142.3340,53,4.7,37.2,1.2,2.9,77
2022/04/28 10:23:00,43.0250,142.3720,147,4.8,7.7,0.4,1.7,71
2022/04/24 19:23:00,23.4580,123.1850,51,5.5,2.6,0.1,0.8,2
2022/04/24 17:16:00,41.7490,143.8010,25,5.4,29.9,1.9,3.0,96
2022/04/19 08:16:00,36.8740,140.3500,93,5.4,243.4,6.2,4.3,374
2022/04/13 10:22:00,26.8540,126.4440,16,5.6,7.4,0.5,1.8,2
2022/04/10 18:43:00,36.2520,141.4430,30,5.0,11.6,0.4,2.0,108
2022/04/10 17:30:00,37.3000,141.8200,39,4.8,55.5,0.9,2.5,125
2022/04/07 14:12:00,26.7660,126.3240,28,4.6,2.8,0.2,0.8,1
2022/04/07 09:30:00,34.8920,137.5010,11,4.7,254.2,7.6,4.0,186
2022/04/06 00:04:00,37.7970,141.5850,53,5.2,91.3,3.2,3.5,220
2022/04/04 22:30:00,35.7450,139.9750,62,4.6,50.6,3.3,3.5,260
2022/04/04 19:29:00,37.3400,141.5780,44,5.4,59.4,1.8,3.1,263
2022/04/03 18:00:00,26.8040,126.5350,22,4.7,2.5,0.1,0.8,1
2022/04/02 20:16:00,31.5630,131.8520,22,4.6,9.4,0.6,2.0,42
2022/03/31 20:52:00,35.6190,140.0350,73,4.7,79.1,3.1,3.7,219
2022/03/30 03:01:00,26.8360,126.2950,12,4.9,2.9,0.2,1.0,1
2022/03/30 02:36:00,26.7980,126.4620,19,5.5,7.8,0.5,1.7,1
2022/03/30 00:18:00,40.0000,141.9770,17,4.9,314.2,5.2,4.0,124
2022/03/29 01:36:00,37.7550,141.5950,55,4.5,50.6,2.3,2.9,154
2022/03/27 22:54:00,37.8150,141.6010,54,4.7,33.5,1.2,2.6,153
2022/03/27 08:15:00,42.3150,143.0640,53,5.1,41.3,1.9,3.3,174
2022/03/27 00:38:00,26.7930,126.3790,27,5.6,6.8,0.3,1.6,1
2022/03/26 00:20:00,37.5240,141.4130,51,4.7,24.1,0.6,2.2,108
2022/03/25 12:08:00,37.5320,141.3760,52,5.2,64.4,2.1,3.5,260
2022/03/24 07:53:00,26.8030,126.3170,17,5.3,5.3,0.4,1.5,1
2022/03/24 03:11:00,26.8230,126.5200,7,5.2,4.7,0.3,1.4,1
2022/03/23 13:09:00,37.7800,141.6150,55,4.5,44.8,1.5,2.8,137
2022/03/23 02:41:00,23.3940,121.4930,44,6.6,4.0,0.3,1.4,3
2022/03/19 04:04:00,25.5630,123.9570,171,5.9,20.0,0.6,2.2,6
2022/03/19 00:58:00,37.7320,141.7160,58,5.0,71.3,2.3,3.5,188
2022/03/18 23:25:00,39.9870,142.0070,18,5.6,327.6,14.8,4.7,176
2022/03/17 21:52:00,26.8360,126.4290,24,4.9,3.3,0.3,1.1,1
2022/03/17 21:30:00,37.9690,141.7940,61,4.6,36.5,0.9,2.6,128
2022/03/17 20:33:00,26.8340,126.2950,19,5.9,6.5,0.5,1.7,3
2022/03/17 19:43:00,37.7670,141.7160,57,4.7,53.2,1.6,2.8,142
2022/03/17 14:06:00,25.8140,123.8600,179,5.3,14.6,0.4,1.8,5
2022/03/17 02:28:00,37.8100,141.7620,66,4.5,30.3,0.5,2.1,107
2022/03/17 00:52:00,37.7900,141.7160,57,5.5,171.5,5.5,3.9,290
2022/03/16 23:45:00,37.8220,141.7160,60,4.8,37.6,1.1,2.6,145
2022/03/16 23:43:00,37.8520,141.7260,63,4.7,25.0,0.9,2.3,114
2022/03/16 23:36:00,37.6940,141.6250,57,7.4,1232.7,75.4,6.2,960
